country_code,wealth
AFG,40737
ALB,78022
DZA,283745
AGO,54982
ATG,1373
ARG,325612
ARM,47485
ABW,4282
AUS,10649579
AUT,1825162
AZE,115213
BHS,16994
BHR,132244
BGD,1025765
BRB,15719
BLR,192541
BEL,3439935
BLZ,2846
BEN,17930
BOL,102098
BIH,87177
BWA,27007
BRA,3326809
BRN,18030
BGR,241498
BFA,15864
BDI,4497
KHM,64951
CMR,45750
CAN,12361997
CAF,2181
TCD,10035
CHL,784507
CHN,85107916
COL,616449
COM,2782
COD,59103
COG,5131
CRI,171106
HRV,224410
CYP,102629
CZE,700685
DNK,1935430
DJI,2373
DMA,1765
ECU,237801
EGY,1405229
SLV,163877
GNQ,19766
ERI,5482
EST,80454
ETH,228313
FJI,11675
FIN,816894
FRA,16158775
GAB,23160
GMB,3386
GEO,46173
DEU,17489371
GHA,129679
GRC,914052
GRD,4157
GIN,24798
GNB,1850
GUY,7238
HTI,9171
HKG,3491753
HUN,547324
ISL,117653
IND,14224887
IDN,3405344
IRN,2292062
IRQ,371051
IRL,919642
ISR,1563672
ITA,11512020
JAM,44748
JPN,25691869
JOR,183775
KAZ,523476
KEN,368870
KOR,10149062
KWT,545401
KGZ,25029
LAO,34672
LVA,127065
LBN,344817
LSO,2171
LBR,13568
LBY,43959
LTU,135907
LUX,331412
MDG,30230
MWI,21899
MYS,615402
MDV,8734
MLI,23453
MLT,58367
MRT,7178
MUS,63470
MEX,4167307
MDA,58523
MNG,15176
MNE,36137
MAR,373823
MOZ,16405
MMR,258030
NAM,31406
NPL,77698
NLD,5422000
NZL,1715804
NIC,56594
NER,14390
NGA,751752
NOR,1412975
OMN,156065
PAK,789610
PAN,144812
PNG,42820
PRY,54774
PER,477327
PHL,992343
POL,1525084
PRT,1287195
QAT,444581
ROU,640474
RUS,3788803
RWA,28334
WSM,1861
STP,493
SAU,2072867
SEN,41163
SRB,179372
SYC,3976
SLE,3232
SGP,1766662
SVK,275814
SVN,179485
SLB,5568
ZAF,938110
ESP,8430739
LKA,401436
LCA,3818
VCT,1492
SUR,3119
SWE,2990427
CHE,4878318
SYR,17883
TWN,5877750
TJK,24534
TZA,122219
THA,1340578
TLS,4141
TGO,6386
TON,2597
TTO,51401
TUN,174016
TUR,1141978
TKM,77864
UGA,49220
UKR,678769
ARE,994029
GBR,16261369
USA,145792882
URY,146913
VUT,2702
VEN,530912
VNM,985481
YEM,123054
ZMB,26692
ZWE,71122